label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,091215_0i,091215_0M,091215_1i,091215_1M,091215_3i,091215_3M,091215_5i,091215_5M,091215_15i,091215_15M,091215_45i,091215_45M,091215_120i,091215_120M,091215_240i,091215_240M
,1,1,9,306.07669100000004,12.875,0.8074979999999999,C12 PARENT,glutathione,C00051,C10H17N3O6S,5.175,0.498529,306.07669100000004,19266.74,0.0,18208.74,0.0,23275.07,0.0,0.0,8314.66,14177.84,7609.78,0.0,0.0,32878.15,0.0,30082.29,9114.0
,1,2,4,307.080048,12.867,0.689659,C13-label-1,glutathione,C00051,C10H17N3O6S,5.167000000000001,0.4969,306.07669100000004,1975.91,0.0,1451.9,0.0,2169.53,0.0,0.0,729.17,1262.36,435.75,0.0,0.0,3304.0,0.0,3163.01,1052.99
,1,3,1,308.082672,12.844000000000001,0.808355,C13-label-2,glutathione,C00051,C10H17N3O6S,5.144,1.8820689999999998,306.07669100000004,0.0,0.0,0.0,0.0,165.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,775.69,0.0,2457.74,109.2
,1,4,0,309.08667,12.807,0.05184299999999999,C13-label-3,glutathione,C00051,C10H17N3O6S,5.107,0.197469,306.07669100000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.22,0.0,372.31,0.0
,1,5,0,310.089966,12.837,0.054889999999999994,C13-label-4,glutathione,C00051,C10H17N3O6S,5.1370000000000005,0.0,306.07669100000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.22,0.0
,1,6,0,311.090332,12.913,0.09821,C13-label-5,glutathione,C00051,C10H17N3O6S,5.212999999999999,9.613586,306.07669100000004,0.0,0.0,1076.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2,7,14,300.049347,7.417999999999999,0.831752,C12 PARENT,N-acetyl-glucosamine-1/6-phosphate,C04256|C00357,C8H16NO9P,0.11800000000000001,1.118795,300.049377,6588.26,9455.38,4868.78,5412.21,5522.37,14035.8,4805.6,7068.51,8454.3,8421.04,6949.99,13566.43,5266.64,7917.9,0.0,0.0
,2,8,2,301.052917,7.421,0.689762,C13-label-1,N-acetyl-glucosamine-1/6-phosphate,C04256|C00357,C8H16NO9P,0.121,1.824654,300.049377,0.0,0.0,241.14,208.68,0.0,1256.33,303.64,600.94,355.03,184.68,755.04,0.0,595.49,516.53,0.0,0.0
,2,9,0,302.053802,7.474,0.048859,C13-label-2,N-acetyl-glucosamine-1/6-phosphate,C04256|C00357,C8H16NO9P,0.174,6.365075,300.049377,0.0,0.0,0.0,0.0,0.0,95.08,0.0,0.0,119.11,0.0,0.0,0.0,0.0,111.07,0.0,0.0
,2,10,0,304.061279,7.399,0.17144,C13-label-4,N-acetyl-glucosamine-1/6-phosphate,C04256|C00357,C8H16NO9P,0.099,3.813914,300.049377,1702.83,1157.16,1417.95,947.1,1513.34,0.0,1830.18,0.0,1142.99,911.4,1042.13,1069.35,1047.44,0.0,0.0,0.0
,2,11,0,305.065613,7.428999999999999,0.050043000000000004,C13-label-5,N-acetyl-glucosamine-1/6-phosphate,C04256|C00357,C8H16NO9P,0.129,0.600216,300.049377,0.0,281.9,0.0,0.0,131.55,0.0,0.0,125.72,0.0,124.14,0.0,0.0,0.0,101.01,0.0,0.0
,2,12,3,306.069611,7.455,0.725167,C13-label-6,N-acetyl-glucosamine-1/6-phosphate,C04256|C00357,C8H16NO9P,0.155,1.495622,300.049377,0.0,0.0,0.0,0.0,0.0,140.37,0.0,1314.35,0.0,2497.75,1116.36,3117.36,1156.05,2687.79,0.0,0.0
,2,13,2,308.076202,7.452999999999999,0.755564,C13-label-8,N-acetyl-glucosamine-1/6-phosphate,C04256|C00357,C8H16NO9P,0.153,1.188704,300.049377,0.0,0.0,0.0,0.0,0.0,962.42,0.0,0.0,0.0,0.0,962.38,1218.98,1435.74,285.4,0.0,0.0
