"091215_0i","091215_0M","091215_1i","091215_1M","091215_3i","091215_3M","091215_5i","091215_5M","091215_15i","091215_15M","091215_45i","091215_45M","091215_120i","091215_120M","091215_240i","091215_240M","row.names"
19266.74,0,18208.74,0,23275.07,0,0,8314.66,14177.84,7609.78,0,0,32878.15,0,30082.29,9114,"1_glutathione_1"
1975.91,0,1451.9,0,2169.53,0,0,729.17,1262.36,435.75,0,0,3304,0,3163.01,1052.99,"1_glutathione_2"
0,0,0,0,165.12,0,0,0,0,0,0,0,775.69,0,2457.74,109.2,"1_glutathione_3"
0,0,0,0,0,0,0,0,0,0,0,0,96.22,0,372.31,0,"1_glutathione_4"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,510.22,0,"1_glutathione_5"
0,0,1076.36,0,0,0,0,0,0,0,0,0,0,0,0,0,"1_glutathione_6"
6588.26,9455.38,4868.78,5412.21,5522.37,14035.8,4805.6,7068.51,8454.3,8421.04,6949.99,13566.43,5266.64,7917.9,0,0,"2_N-acetyl-glucosamine-1/6-phosphate_7"
0,0,241.14,208.68,0,1256.33,303.64,600.94,355.03,184.68,755.04,0,595.49,516.53,0,0,"2_N-acetyl-glucosamine-1/6-phosphate_8"
0,0,0,0,0,95.08,0,0,119.11,0,0,0,0,111.07,0,0,"2_N-acetyl-glucosamine-1/6-phosphate_9"
1702.83,1157.16,1417.95,947.1,1513.34,0,1830.18,0,1142.99,911.4,1042.13,1069.35,1047.44,0,0,0,"2_N-acetyl-glucosamine-1/6-phosphate_10"
0,281.9,0,0,131.55,0,0,125.72,0,124.14,0,0,0,101.01,0,0,"2_N-acetyl-glucosamine-1/6-phosphate_11"
0,0,0,0,0,140.37,0,1314.35,0,2497.75,1116.36,3117.36,1156.05,2687.79,0,0,"2_N-acetyl-glucosamine-1/6-phosphate_12"
0,0,0,0,0,962.42,0,0,0,0,962.38,1218.98,1435.74,285.4,0,0,"2_N-acetyl-glucosamine-1/6-phosphate_13"
